Compound,Negative,Neutral,Positive,Tweet_Ago,Tweet_DateTime,Tweet_Text,User
0.0,0.0,1.0,0.0,26,Sun Jun 10 00:14:37 +0000 2018,"RT @SimaDini: Iranian women defying the tyrannical Islamist regime!
#براندازم
#RegimeChangeIran
The so called Feminists cozzying up with th…",@BBC
-0.5859,0.25,0.67,0.08,27,Sun Jun 10 00:14:29 +0000 2018,@BBC failing to observe it’s in response to Prime Minister Zoolander @JustinTrudeau passive aggressively shot it do… https://t.co/ujNYi3AeGI,@BBC
-0.4019,0.114,0.886,0.0,28,Sun Jun 10 00:14:03 +0000 2018,"RT @Naijadailyfeed: This brother was just robbed by SARS, he had to lose N10,000 before being released
#EndSARS @AJStream @CNN @BBC @Amnest…",@BBC
0.4939,0.0,0.814,0.186,29,Sun Jun 10 00:13:55 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
0.0,0.0,1.0,0.0,30,Sun Jun 10 00:12:07 +0000 2018,RT @AngeicaNewsom: @hickoryhill8520 @davidhulstedt @jlshine5 @wathitup @Miss_spacess @Johnkamau7 @RogerTharpe @rowey64 @ledrew @GodsWordIsF…,@BBC
-0.6597,0.316,0.684,0.0,31,Sun Jun 10 00:11:38 +0000 2018,"RT @Trickyjabs: Weird isn't it:

Poll Tax Protests, Student Protests &amp; Anti-Austerity Protests smash windows = Wall to wall @BBCNews covera…",@BBC
0.4939,0.0,0.814,0.186,32,Sun Jun 10 00:10:15 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
0.0,0.0,1.0,0.0,33,Sun Jun 10 00:09:46 +0000 2018,"RT @BBC: It's time to think about our plastic behaviour.
#WorldEnvironmentDay https://t.co/kSzSawpYLv",@BBC
0.3527,0.0,0.851,0.149,34,Sun Jun 10 00:09:12 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
-0.8689,0.403,0.597,0.0,35,Sun Jun 10 00:09:02 +0000 2018,@BBCWorld UK imprisoned #TommyRobinson for fighting against sex grooming gangs in the UK. @BBC - no news -- fake ne… https://t.co/dLTAPQpJPY,@BBC
0.6808,0.0,0.682,0.318,36,Sun Jun 10 00:08:43 +0000 2018,@varuprole @Trickyjabs @BBCNews @BBC The main speech giver praised the police on his feed.,@BBC
-0.4019,0.114,0.886,0.0,37,Sun Jun 10 00:08:18 +0000 2018,"RT @Naijadailyfeed: This brother was just robbed by SARS, he had to lose N10,000 before being released
#EndSARS @AJStream @CNN @BBC @Amnest…",@BBC
-0.4588,0.143,0.857,0.0,38,Sun Jun 10 00:07:04 +0000 2018,@jimbo54320 @MishytheLezzy @BBC @BBCTwo The kids also. She was banned from speaking at Bristol University in Jan 20… https://t.co/Uj05iH5QPD,@BBC
0.2732,0.0,0.896,0.104,39,Sun Jun 10 00:05:35 +0000 2018,@Trickyjabs @nooouch @BBCNews @BBC I usually agreed with you. However in this case I thinks the BCC have gone down… https://t.co/00mwCHsPJ3,@BBC
0.0,0.0,1.0,0.0,40,Sun Jun 10 00:05:30 +0000 2018,@GStarFreedom @Karenco30 @loriblue6 @Fenbeagle @SimonGosden @mike8881 @ElContador2000 @528Booth @blenkins1… https://t.co/GTA9r34vY0,@BBC
0.0,0.0,1.0,0.0,41,Sun Jun 10 00:04:23 +0000 2018,@GStarFreedom @Karenco30 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper @loriblue6 @DD1958… https://t.co/cWzL8OT2vh,@BBC
-0.296,0.219,0.658,0.123,42,Sun Jun 10 00:04:18 +0000 2018,"@MockTheWeek @ad_hole @BBC @BBCTwo You have a journalist in prison for reporting on Muslim rape gangs, but yeah, Trump.",@BBC
0.3527,0.0,0.851,0.149,43,Sun Jun 10 00:03:50 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.4927,0.0,0.856,0.144,44,Sun Jun 10 00:03:40 +0000 2018,"RT @rick135b7: Border Crossing from Bangladesh to Myanmar - So Easy
@UN @CNN @BBC @MTT_News @ChannelNewsAsia @Reuters @AFP @AP @cnni @BBCNe…",@BBC
0.4939,0.0,0.814,0.186,45,Sun Jun 10 00:03:37 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
-0.5766,0.14,0.86,0.0,46,Sun Jun 10 00:03:35 +0000 2018,RT @rick135b7: A HINDU MAN IN MAUNGDAW TELLS OF HIS FAMILY THREATENED WITH BEHEADING IF THEY DID NOT CONVERT TO ISLAM BY BENGALI MUSLIMS (s…,@BBC
-0.6597,0.316,0.684,0.0,47,Sun Jun 10 00:03:09 +0000 2018,"RT @Trickyjabs: Weird isn't it:

Poll Tax Protests, Student Protests &amp; Anti-Austerity Protests smash windows = Wall to wall @BBCNews covera…",@BBC
-0.25,0.111,0.889,0.0,48,Sun Jun 10 00:02:40 +0000 2018,"RT @rick135b7: ARSA propaganda with music
@UN @CNN @BBC @MTT_News @ChannelNewsAsia @Reuters @AFP @AP @cnni @BBCNewsAsia 
https://t.co/mR9dL…",@BBC
-0.8172,0.321,0.679,0.0,49,Sun Jun 10 00:02:26 +0000 2018,"RT @rick135b7: Propaganda, Fake News, Fake History - almost everything they put out is this way!
@UN @CNN @BBC @MTT_News @ChannelNewsAsia @…",@BBC
0.7717,0.0,0.544,0.456,50,Sun Jun 10 00:02:07 +0000 2018,RT @BBC: ❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,@BBC
0.4939,0.0,0.814,0.186,51,Sun Jun 10 00:01:26 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
0.0,0.0,1.0,0.0,52,Sun Jun 10 00:00:59 +0000 2018,"@BBC 
Britishers and British government were inhuman and ruthless for Indian citizens at the period of dependent.

#ShameOnBritishers.",@BBC
0.0,0.0,1.0,0.0,53,Sun Jun 10 00:00:47 +0000 2018,"RT @BBC: Would you describe yourself as a feminist?
#HearHer https://t.co/RZh8XfEria",@BBC
-0.4184,0.141,0.859,0.0,54,Sun Jun 10 00:00:38 +0000 2018,"Stop the execution of Ramin Hossein Panahi! 

Arrêter de l'exécution de Ramin Hossein Panahi! 

@UN 
@hrw_fr 
@hrw… https://t.co/UWjGQcWVlg",@BBC
-0.25,0.08,0.92,0.0,55,Sun Jun 10 00:00:28 +0000 2018,"RT @jizlee: ""It would be rather hypocritical to suggest people who watch porn are upstanding members of society, but people who star in it…",@BBC
0.3527,0.0,0.851,0.149,56,Sat Jun 09 23:59:58 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.0,0.0,1.0,0.0,57,Sat Jun 09 23:59:02 +0000 2018,@GStarFreedom @Karenco30 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper @loriblue6 @DD1958… https://t.co/n4x9Ynl7cQ,@BBC
0.0,0.0,1.0,0.0,58,Sat Jun 09 23:57:43 +0000 2018,@Trickyjabs @WeAreOneEU @BBCNews @BBC absolute opposite.,@BBC
-0.9688,0.465,0.535,0.0,59,Sat Jun 09 23:57:39 +0000 2018,"RT @Adepojudieko: It might not be you today, but one day, the madness will circulate. This is evil. Evil going on in Nigeria. They arrest a…",@BBC
0.0,0.0,1.0,0.0,60,Sat Jun 09 23:57:01 +0000 2018,Wonder when @bbc will cover this? https://t.co/UnCEbw3o4Q,@BBC
0.4939,0.0,0.814,0.186,61,Sat Jun 09 23:56:50 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
-0.5399,0.29,0.71,0.0,62,Sat Jun 09 23:54:56 +0000 2018,"Seriously people, just stop already! This is 2018! @CNN @FoxNews @BBC https://t.co/IvwWbRgyei #FoxNews",@BBC
0.7717,0.0,0.544,0.456,63,Sat Jun 09 23:54:56 +0000 2018,RT @BBC: ❤️️ This is what love looks like. https://t.co/Qle1eoBU5x,@BBC
0.3527,0.0,0.851,0.149,64,Sat Jun 09 23:54:22 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.0,0.0,1.0,0.0,65,Sat Jun 09 23:52:56 +0000 2018,"@ravenwolf68 @BBC @BBCFOUR Now that I'm back in the US watching stuff in Arizona, I insist on watching it in Stupid… https://t.co/7Yu3oGgfJ2",@BBC
0.0,0.0,1.0,0.0,66,Sat Jun 09 23:52:55 +0000 2018,@GStarFreedom @Karenco30 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper @loriblue6 @DD1958… https://t.co/sSgQTIzkza,@BBC
0.3182,0.0,0.887,0.113,67,Sat Jun 09 23:52:38 +0000 2018,RT @mobi5417: @PervaizKomal @Owaissattar9 @BBC @CNN @VOANews Please keep minor political affiliations aside when putting PTM on surgical ta…,@BBC
0.0,0.0,1.0,0.0,68,Sat Jun 09 23:52:27 +0000 2018,RT @mobi5417: @PervaizKomal @Owaissattar9 @BBC @CNN @VOANews Same Rao Anwar who busted MQM-RAW nexus single handedly&amp;came live on TV agains…,@BBC
0.3527,0.0,0.851,0.149,69,Sat Jun 09 23:51:21 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.0,0.0,1.0,0.0,70,Sat Jun 09 23:50:57 +0000 2018,@GStarFreedom @Karenco30 @Fenbeagle @SimonGosden @mike8881 @ElContador2000 @528Booth @blenkins1 @am_draper… https://t.co/KmOp2VeLZH,@BBC
-0.2263,0.126,0.781,0.093,71,Sat Jun 09 23:50:49 +0000 2018,"RT @Naijadailyfeed: This young man in the picture below was bundled like a criminal into SARS van, slapped severally for asking why he was…",@BBC
0.296,0.0,0.901,0.099,72,Sat Jun 09 23:50:39 +0000 2018,RT @mobi5417: @PervaizKomal @Owaissattar9 @BBC @CNN @VOANews Ok. So how will you justify your belief based their reporting that Naqeeb was…,@BBC
-0.2263,0.126,0.781,0.093,73,Sat Jun 09 23:50:08 +0000 2018,"RT @Naijadailyfeed: This young man in the picture below was bundled like a criminal into SARS van, slapped severally for asking why he was…",@BBC
0.7579,0.0,0.667,0.333,74,Sat Jun 09 23:49:59 +0000 2018,"@ravenwolf68 @BBC @BBCFOUR This.
Original language is ALWAYS best. Voiceover performances are universally terrible.… https://t.co/yhcvVSkfrv",@BBC
0.3818,0.0,0.867,0.133,75,Sat Jun 09 23:49:38 +0000 2018,"RT @AEgbewatt1: I have a #hunch that #UN #Commonwealth and #OtherPowersThatBe are willing to accept any #Elections in #CamerounLRDC, howeve…",@BBC
0.0,0.0,1.0,0.0,76,Sat Jun 09 23:47:10 +0000 2018,RT @KISSfanaticz: @GGJuliePayette @RoyalFamily @liberal_party @JustinTrudeau @gmbutts @telfordk @RalphGoodale @cafreeland @POTUS @g7 @UN @g…,@BBC
0.0,0.0,1.0,0.0,77,Sat Jun 09 23:47:10 +0000 2018,@GStarFreedom @Karenco30 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper @loriblue6 @DD1958… https://t.co/BbTeK8UDHP,@BBC
0.3527,0.0,0.851,0.149,78,Sat Jun 09 23:46:45 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
-0.6597,0.316,0.684,0.0,79,Sat Jun 09 23:45:49 +0000 2018,"RT @Trickyjabs: Weird isn't it:

Poll Tax Protests, Student Protests &amp; Anti-Austerity Protests smash windows = Wall to wall @BBCNews covera…",@BBC
0.3527,0.0,0.851,0.149,80,Sat Jun 09 23:44:22 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.0,0.0,1.0,0.0,81,Sat Jun 09 23:43:39 +0000 2018,@JLewisphotoblog I know!  You'd think that the people at @BBCNews would already know this!!  #Worrying If you ever… https://t.co/yr3xBPZels,@BBC
-0.9587,0.433,0.567,0.0,82,Sat Jun 09 23:43:26 +0000 2018,"It might not be you today, but one day, the madness will circulate. This is evil. Evil going on in Nigeria. They ar… https://t.co/iMqVE2wxTV",@BBC
0.0,0.0,1.0,0.0,83,Sat Jun 09 23:42:13 +0000 2018,RT @fxeEYr58wEl8216: 郝大作家质疑邓煌高调庆生事件已剑指她身后的人物，“她到底是谁的情妇”是个尖锐的问题。我始终坚定不移地质疑邓煌“生日门”涉嫌腐败问题，就因她是国家公职人员，是国家监察法监督的对象。刚颁布的国家监察法是全覆盖、无盲区，就像初生的婴儿需要百般…,@BBC
0.0,0.0,1.0,0.0,84,Sat Jun 09 23:42:08 +0000 2018,RT @Karenco30: @GStarFreedom @Fenbeagle @SimonGosden @mike8881 @ElContador2000 @528Booth @blenkins1 @am_draper @loriblue6 @DD1958 @itsafrog…,@BBC
0.0,0.0,1.0,0.0,85,Sat Jun 09 23:42:03 +0000 2018,@Karenco30 @GStarFreedom @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper @loriblue6 @DD1958… https://t.co/zakQiGo6fb,@BBC
0.4939,0.0,0.814,0.186,86,Sat Jun 09 23:41:31 +0000 2018,"RT @Majid_Agha: H A R D  T A L K @BBC with @TheZeinabBadawi: Watch the statesman @BBhuttoZardari, confident and composed, &amp; self-claimed so…",@BBC
-0.7964,0.323,0.677,0.0,87,Sat Jun 09 23:41:26 +0000 2018,"RT @mobi5417: @PervaizKomal @Owaissattar9 They, @BBC, @CNN &amp; @VOANews are harbingers of deceit, fake news &amp; propaganda. I would recheck my…",@BBC
0.0,0.0,1.0,0.0,88,Sat Jun 09 23:40:56 +0000 2018,"RT @BBC: The cast of @QueerEye brought a bag of goodies along to @BBCR1's #BiggestWeekend 😍🎁

Here's what @tanfrance, @bobbyberk, @antoni a…",@BBC
0.3527,0.0,0.851,0.149,89,Sat Jun 09 23:40:08 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.3527,0.0,0.851,0.149,90,Sat Jun 09 23:39:27 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.0,0.0,1.0,0.0,91,Sat Jun 09 23:39:07 +0000 2018,@GStarFreedom @Karenco30 @Fenbeagle @SimonGosden @ElContador2000 @528Booth @blenkins1 @am_draper @loriblue6 @DD1958… https://t.co/nEMA0ZDZo4,@BBC
0.0,0.0,1.0,0.0,92,Sat Jun 09 23:38:34 +0000 2018,@telitasitis @mackey69er @BBCBreaking @BBCNews @BBC @realDonaldTrump If the gang can show that 1 of the jurors saw… https://t.co/QsXy2bUISU,@BBC
-0.3182,0.15,0.85,0.0,93,Sat Jun 09 23:37:41 +0000 2018,"@Ruairc @behmmarc1 @carolecadwalla @scorpiess93 @AndrewMarr9 @afneil @BBC @BBCPanorama Not just ignored, he helped… https://t.co/sr9cqTuLxR",@BBC
0.3527,0.0,0.851,0.149,94,Sat Jun 09 23:34:52 +0000 2018,"RT @carolecadwalla: Oh my god. What next? @AndrewMarr9, @afneil, @bbc &amp; @BBCPanorama follow up? https://t.co/apvar46d5j",@BBC
0.0,0.0,1.0,0.0,95,Sat Jun 09 23:34:34 +0000 2018,RT @5hady_uk: @carolecadwalla @AndrewMarr9 @afneil @BBC @BBCPanorama Will @IsabelOakeshott make an appearance on tomorrows @AndrewMarr9 sho…,@BBC
-0.25,0.08,0.92,0.0,96,Sat Jun 09 23:34:25 +0000 2018,"RT @jizlee: ""It would be rather hypocritical to suggest people who watch porn are upstanding members of society, but people who star in it…",@BBC
0.0,0.0,1.0,0.0,97,Sat Jun 09 23:34:18 +0000 2018,@young_son @carolecadwalla @AndrewMarr9 @afneil @BBC @BBCPanorama 🎯,@BBC
0.0,0.0,1.0,0.0,98,Sat Jun 09 23:33:54 +0000 2018,@cpt_horatio @carolecadwalla @AndrewMarr9 @afneil @BBC @BBCPanorama you bet 🙄,@BBC
0.0,0.0,1.0,0.0,99,Sat Jun 09 23:33:38 +0000 2018,@cpt_horatio @carolecadwalla @AndrewMarr9 @afneil @BBC @BBCPanorama that's what you think!,@BBC
0.5838,0.0,0.826,0.174,0,Sun Jun 10 00:38:13 +0000 2018,"RT @ilovemalec24: @softddario @HazzaxxLoueh @emilylongeretta @FreeformTV If they really care they’ll let someone else pick up the show! 

#…",@CBS
0.0,0.0,1.0,0.0,1,Sun Jun 10 00:37:09 +0000 2018,@netflix @hulu @HBO @FOXTV @ABCNetwork @CBS #savelucifer #twitter #pickuplucifer #lucifans #lucifermorningstar… https://t.co/VB430Z5TDr,@CBS
0.0,0.0,1.0,0.0,2,Sun Jun 10 00:36:05 +0000 2018,RT @CBS: Here's everything you need to know before watching the #TonyAwards this Sunday at 8/7c: https://t.co/jcRgNGmLUZ https://t.co/8suUh…,@CBS
0.3968,0.134,0.683,0.184,3,Sun Jun 10 00:35:14 +0000 2018,"RT @BA_4Trump: @POTUS I am proud that you did not fit in and rub elbows with the Global Elite snobs at #G7 ! Thank You! 
@CNN @MSNBC @ABC @…",@CBS
0.0,0.0,1.0,0.0,4,Sun Jun 10 00:34:56 +0000 2018,"RT @messup7592: @just_a_meow_mom We will #SaveScorpion ! We will, we will rock you @CBS !",@CBS
0.0,0.0,1.0,0.0,5,Sun Jun 10 00:34:49 +0000 2018,@ChristieLafran1 @CamilleGtine @PalmerReport @realDonaldTrump @CNN @MSNBC @NBCPolitics @CBS @ABC 😂😂😂😂😂😂🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂… https://t.co/UAiCsDa55S,@CBS
0.0,0.0,1.0,0.0,6,Sun Jun 10 00:34:35 +0000 2018,RT @pasbonca: @messup7592 @just_a_meow_mom @CBS 😂😂😂 très bon #savescorpion,@CBS
0.1531,0.0,0.914,0.086,7,Sun Jun 10 00:34:29 +0000 2018,"RT @messup7592: @killianfleury45 @just_a_meow_mom @CBS En effet, l’arret de @ScorpionCBS est contestable, car cette série faisait des audie…",@CBS
0.296,0.0,0.761,0.239,8,Sun Jun 10 00:33:56 +0000 2018,RT @messup7592: @LiorNow Yeah #SaveScorpion #ScorpionSeason5 @CBS https://t.co/0HsgNQz2u0,@CBS
0.0,0.0,1.0,0.0,9,Sun Jun 10 00:33:52 +0000 2018,RT @pasbonca: @messup7592 @LiorNow @CBS A demain la #teamscorpion 😉😴 et surtout #savescorpion 😂,@CBS
0.4215,0.0,0.843,0.157,10,Sun Jun 10 00:33:51 +0000 2018,RT @JKCorden: Tonight’s @latelateshow might be one of my favorites of all time x @CBS 12.30 x #LateLateShawn,@CBS
0.2003,0.094,0.781,0.125,11,Sun Jun 10 00:33:49 +0000 2018,RT @messup7592: @pattysartwork Good advice to @CBS when they will be stressed out when they’re going to see #SaveScorpion trending widely !…,@CBS
0.0,0.0,1.0,0.0,12,Sun Jun 10 00:33:45 +0000 2018,RT @messup7592: @pasbonca @LiorNow @CBS Bonne soirée ! #SaveScorpion https://t.co/bW7Ng04RhG,@CBS
0.0,0.0,1.0,0.0,13,Sun Jun 10 00:33:42 +0000 2018,RT @messup7592: @thinkispossibl1 @CBS @ScorpionCBS Season 5 for @ScorpionCBS ! #SaveScorpion,@CBS
0.4019,0.0,0.903,0.097,14,Sun Jun 10 00:33:21 +0000 2018,RT @CaptainBadger79: So first day of my holiday and I switch on the TV to see Scorpion. We'll @CBS I think this might be a sign to renew fo…,@CBS
0.9635,0.036,0.465,0.499,15,Sun Jun 10 00:33:08 +0000 2018,RT @messup7592: Socially awkward but very smart bunch of friends sticking together to save the country/World ...  Best synopsis ever for a…,@CBS
0.3595,0.094,0.755,0.151,16,Sun Jun 10 00:32:39 +0000 2018,"RT @MArmenoff: @CBS we have the perfect person to correct the relationship mess called Scorpion!  With Dr. Rizzuto
(Penn Jillette), team Sc…",@CBS
0.0,0.0,1.0,0.0,17,Sun Jun 10 00:32:20 +0000 2018,RT @DouglasHespelt: @pattysartwork @tvfan00 @chpspics @YgrekCe @just_a_meow_mom @CBS @ScorpionCBS You are so very right!! Scorpion is total…,@CBS
0.0,0.0,1.0,0.0,18,Sun Jun 10 00:32:00 +0000 2018,@playhousesquare @tonyawards @CBS i have an idea about this too if it's not to late to set it up.,@CBS
0.743,0.062,0.712,0.226,19,Sun Jun 10 00:31:29 +0000 2018,RT @HeleenScorpion: I just can't get over the fact that you cancelled one of your best shows and a few weeks later you are proud that it go…,@CBS
0.0,0.0,1.0,0.0,20,Sun Jun 10 00:30:41 +0000 2018,RT @voom2002: @HeleenScorpion @tvfan00 @CBS @CBSTVStudios I agee with you. #SaveScorpion #TeamScorpion #bringbackscorpion,@CBS
0.5423,0.0,0.741,0.259,21,Sun Jun 10 00:30:36 +0000 2018,@CBSThisMorning @CBSNews @TheTonyAwards @CBS Sewage praising other sewage for being sewage.,@CBS
